rna-gnl|WGS:MRZV|mrna.BSL78_19500	1b262e53d31f5b56113112f984034d42	304	Pfam	PF01008	Initiation factor 2 subunit family	19	292	3.6E-71	T	29-11-2022	IPR000649	Initiation factor 2B-related	GO:0044237
rna-gnl|WGS:MRZV|mrna.BSL78_26975	1743e08ca32d34cdad0c87a4fc94d5bf	302	Pfam	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	24	136	1.4E-32	T	29-11-2022	IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal	GO:0016627|GO:0050660
rna-gnl|WGS:MRZV|mrna.BSL78_26975	1743e08ca32d34cdad0c87a4fc94d5bf	302	Pfam	PF02770	Acyl-CoA dehydrogenase, middle domain	140	237	4.5E-26	T	29-11-2022	IPR006091	Acyl-CoA oxidase/dehydrogenase, middle domain	GO:0016627
rna-gnl|WGS:MRZV|mrna.BSL78_26975	1743e08ca32d34cdad0c87a4fc94d5bf	302	Pfam	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	252	300	1.9E-8	T	29-11-2022	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	GO:0016627
rna-gnl|WGS:MRZV|mrna.BSL78_23421	92ddd462e45fd9cf1fe05be139ebd71c	343	Pfam	PF00225	Kinesin motor domain	27	333	2.7E-103	T	29-11-2022	IPR001752	Kinesin motor domain	GO:0003777|GO:0005524|GO:0007018|GO:0008017
rna-gnl|WGS:MRZV|mrna.BSL78_16852	8c224893c9b476b9519e9b0c063ddff2	162	Pfam	PF00071	Ras family	4	118	7.6E-21	T	29-11-2022	IPR001806	Small GTPase	GO:0003924|GO:0005525
rna-gnl|WGS:MRZV|mrna.BSL78_04797	549258f3d2762254b10cf0453eff8e6f	144	Pfam	PF14838	Integrator complex subunit 5 C-terminus	54	125	3.7E-7	T	29-11-2022	IPR029444	Integrator complex subunit 5, C-terminal	-
rna-gnl|WGS:MRZV|mrna.BSL78_12600	e3e3e8c2bd05b47e263432314b530e63	775	Pfam	PF14911	S-phase genomic integrity recombination mediator, C-terminal	386	743	1.4E-34	T	29-11-2022	IPR029424	MMS22-like, C-terminal	-
rna-gnl|WGS:MRZV|mrna.BSL78_12600	e3e3e8c2bd05b47e263432314b530e63	775	Pfam	PF14910	S-phase genomic integrity recombination mediator, N-terminal	8	283	6.3E-44	T	29-11-2022	IPR029425	Protein MMS22-like, N-terminal	-
rna-gnl|WGS:MRZV|mrna.BSL78_04535	fb03c705e8f53aadd6cb88586b0d09ad	489	Pfam	PF00069	Protein kinase domain	349	480	2.1E-27	T	29-11-2022	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468
